category,phrase_or_pattern,is_regex,notes
emotional coercion,gaslight,FALSE,psychological manipulation
emotional coercion,lovebomb,FALSE,manipulative affection tactic
emotional coercion,darvo,FALSE,deny attack reverse victim offender
emotional coercion,narcissist,FALSE,abuser descriptor
emotional coercion,narc abuse,FALSE,narcissistic abuse
emotional coercion,trauma bond,FALSE,psychological dependency
emotional coercion,stonewalling,FALSE,refusal to communicate
emotional coercion,silent treatment,FALSE,punishment via silence
emotional coercion,hoovering,FALSE,attempt to suck victim back in
emotional coercion,walking on eggshells,FALSE,fear response/hyper-vigilance
emotional coercion,coercive control,FALSE,core academic term
emotional coercion,reactive abuse,FALSE,victim reacting to abuse
emotional coercion,financial abuse,FALSE,controlling resources
emotional coercion,smear campaign,FALSE,social sabotage
emotional coercion,dv,FALSE,domestic violence abbreviation
emotional coercion,ipv,FALSE,intimate partner violence abbreviation
emotional coercion,forced me to,FALSE,forced pattern
emotional coercion,forced me into,FALSE,another forced verb structure
emotional coercion,he made me do,FALSE,coercive phrasing
emotional coercion,she made me do,FALSE,gender variant phrase
emotional coercion,pressured me into,FALSE,soft coercion
emotional coercion,manipulated me into,FALSE,soft coercion via manipulation
emotional coercion,guilt-tripped me,FALSE,emotional coercion
emotional coercion,manipulat(?:ed|ing|e),TRUE,manipulation variants
emotional coercion,isolat(?:ed|ing|e),TRUE,isolation variants
emotional coercion,threat(?:ened|ening|s),TRUE,threats
emotional coercion,narc(?:issist| abuse|issistic),TRUE,narcissism variants
emotional coercion,guilt[\W_]*trip(?:ped|ping)?,TRUE,guilt-tripping
emotional coercion,"\b(show|send|post|dm|drop|share)\s+(?:me\s+|us\s+)?(?:ur|your|u|yr|the)?\s*(tits?|boobs?|breasts?|nudes?|pics?|photos?|vids?|videos?|pussy|dick|cock|ass|feet|body)\b",TRUE,"Master solicitation pattern (e.g. 'show me your tits')"
